feature,label
approaches inside,0
are,0
are on not,3
are sent through,0
defeated,1
did against,1
does not have,3
drew gun on,1
elevates in,0
enlist in,0
entered,0
gives,5
had trained,4
has done for,4
have checked,4
have in,-1
is,0
joined,0
kept off,3
meets jenny in,-1
passed,1
received from,5
reports,2
reviewed,2
sagged against,1
seeks,2
sets eyes on,2
should have,-1
showered,-1
sits at,0
supports syntax highlighting for,-1
swung around,1
traveled with,7
treats,-1
was orchestrating with,2
was sitting at,0
will be combined with successful feasibility projects from,6
will discuss,2
will present,2
willed,2
